county,school_or_school_district,type,student_cases_new,student_cases_cumulative,staff_cases_new,staff_cases_cumulative
Allen,St Gerard,Private School,No Cases Reported,3,No Cases Reported,2
Allen,St Gerard,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,St John Elementary and High School,Private School,No Cases Reported,8,No Cases Reported,4
Allen,St Rose,Private School,No Cases Reported,3,No Cases Reported,6
Allen,St Rose,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Temple Christian School,Private School,No Cases Reported,2,No Cases Reported,3
Allen,Temple Christian School,Preschool,No Cases Reported,0,No Cases Reported,1
Allen,The Center for Autism and Dyslexia,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,Three Rivers Preparatory School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Allen,West Central Learning Academy II,Community School,No Cases Reported,0,No Cases Reported,2
Allen,Yates Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Van Wert,Delphos St. John Preschool,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Alliance City,Public District,No Cases Reported,4,No Cases Reported,2
Stark,Regina Coeli,Private School,No Cases Reported,1,No Cases Reported,0
Stark,Regina Coeli,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashland,Ashland Christian,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashland,Ashland Christian,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashland,Ashland City,Public District,1,74,2,46
Ashland,Ashland County Board of DD,County Board of Developmental Disabilities,No Cases Reported,1,No Cases Reported,2
Ashland,Ashland County Community Academy,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashland,Ashland County-West Holmes,Joint Vocational School District,No Cases Reported,1,No Cases Reported,2
Ashland,Hillsdale Local,Public District,No Cases Reported,22,No Cases Reported,9
Ashland,Hoy Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashland,Loudonville-Perrysville Exempted Village,Public District,No Cases Reported,7,No Cases Reported,5
Ashland,Mapleton Local,Public District,1,26,1,19
Ashland,St Edward,Private School,0,0,0,0
Ashland,St Edward,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Medina,Black River Local,Public District,No Cases Reported,4,No Cases Reported,1
Ashtabula,Ashtabula County ESC,Educational Service Center,0,0,0,0
Ashtabula,Christian Faith Academy,Private School,0,0,0,0
Ashtabula,Ashtabula Area City,Public District,0,26,0,24
Ashtabula,Ashtabula County Board of DD,County Board of Developmental Disabilities,0,1,0,0
Ashtabula,Ashtabula County Technical and Career Center,Joint Vocational School District,0,21,0,1
Ashtabula,Buckeye Local,Public District,0,0,0,3
Ashtabula,Creekside Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashtabula,Geneva Area City,Public District,0,20,0,9
Ashtabula,Grand River Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashtabula,Grand Valley Local,Public District,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Ashtabula,Jefferson Area Local,Public District,1,17,1,11
Ashtabula,Pymatuning Valley Local,Public District,0,6,0,2
Ashtabula,Saint John School,Private School,0,8,0,3
Ashtabula,Saint John School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Athens,Alexander Local,Public District,3,18,2,12
Athens,Athens City,Public District,2,20,2,16
Athens,Athens County Board of DD,County Board of Developmental Disabilities,0,0,0,0
Athens,Athens-Meigs ESC,Educational Service Center,0,0,0,1
Athens,Federal Hocking Local,Public District,4,6,0,1
Athens,Haugland Learning Center - Athens,Private School,0,0,0,1
Athens,Nelsonville-York City,Public District,3,25,1,15
Athens,Tri-County Career Center,Joint Vocational School District,0,13,1,9
Athens,Trimble Local,Public District,0,16,1,12
Auglaize,Auglaize County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Auglaize,Auglaize County ESC,Educational Service Center,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Auglaize,Endicott Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Auglaize,Holy Rosary,Private School,0,0,0,1
Auglaize,Holy Rosary,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Auglaize,Minster Local,Public District,0,8,0,4
Auglaize,New Bremen Local,Public District,0,17,0,4
Auglaize,New Knoxville Local,Public District,0,10,1,1
Auglaize,St Marys City,Public District,0,37,0,14
Auglaize,Wapakoneta City,Public District,1,83,1,25
Auglaize,Waynesfield-Goshen Local,Public District,0,14,0,5
Belmont,Barnesville Exempted Village,Public District,4,22,0,10
Belmont,Bellaire Local,Public District,2,8,2,6
Belmont,Belmont County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Belmont-Harrison,Joint Vocational School District,No Cases Reported,1,No Cases Reported,3
Belmont,Bridgeport Exempted Village,Public District,0,5,1,3
Belmont,East Richland Christian Schools,Private School,No Cases Reported,3,No Cases Reported,9
Belmont,East Richland Christian Schools,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Grace Learning Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Green Pastures Classical School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Harrell Family Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Live & Learn Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Lone Oak Lifetime Learner's Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Martins Ferry Christian,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Martins Ferry City,Public District,2,18,0,1
Belmont,Olney Friends,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Scientia Classical Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Shadyside Local,Public District,No Cases Reported,11,No Cases Reported,2
Belmont,St  John Central Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,St Clairsville-Richland City,Public District,6,28,0,9
Belmont,St John Central Academy,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,St Mary,Private School,No Cases Reported,1,No Cases Reported,0
Belmont,St Mary,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,St Mary Central,Private School,No Cases Reported,1,No Cases Reported,0
Belmont,St Mary Central,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Belmont,Union Local,Public District,No Cases Reported,22,No Cases Reported,5
Brown,Brown County Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Brown,Brown ESC,Educational Service Center,0,1,1,7
Brown,Candeo Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Brown,Eastern Local School District,Public District,5,43,2,19
Brown,Fayetteville-Perry Local,Public District,0,46,2,30
Brown,Georgetown Exempted Village,Public District,2,31,1,12
Brown,King's Classical Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Brown,Philia PRIME Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Brown,Ripley-Union-Lewis-Huntington Local,Public District,0,24,1,21
Brown,Southern Hills,Joint Vocational School District,6,24,1,4
Brown,St Michael Consolidated,Private School,0,0,1,11
Brown,St Michael Consolidated,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Brown,Western Brown Local,Public District,6,75,5,42
Butler,Bolser Family Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Butler County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Butler Technology & Career Development Schools,Joint Vocational School District,3,105,1,29
Butler,Cincinnati Christian Schools,Private School,8,23,3,8
Butler,Cincinnati Christian Schools,Preschool,No Cases Reported,15,No Cases Reported,5
Butler,Community Montessori School,Private School,0,0,1,1
Butler,Covenant Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Edgewood City,Public District,12,138,3,63
Butler,Fairfield City,Public District,22,279,13,148
Butler,Fairfield Educational Building,Private School,No Cases Reported,0,No Cases Reported,0
Butler,Fairfield Educational Building,Preschool,No Cases Reported,0,No Cases Reported,0
Butler,Fairfield Educational Building,Before and After School Programs,No Cases Reported,0,No Cases Reported,0
Butler,Honeybee Catholic Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,International Academy Of Cincinnati  Inc.,Private School,No Cases Reported,1,No Cases Reported,2
Butler,International Academy Of Cincinnati Inc.,Preschool,No Cases Reported,0,No Cases Reported,0
Butler,Keystone Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Kharis Christian Academy A Community of Grace,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Kinder Garden School  West Chester,Private School,No Cases Reported,1,No Cases Reported,1
Butler,Lakota Local,Public District,56,496,17,168
Butler,Lemon Grove Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Madison Local,Public District,4,56,2,33
Butler,McGuffey Montessori School,Private School,No Cases Reported,1,No Cases Reported,0
Butler,McGuffey Montessori School,Preschool,No Cases Reported,0,No Cases Reported,0
Butler,Monroe Local,Public District,9,85,4,53
Butler,Mother Teresa Catholic,Private School,6,27,0,7
Butler,New Miami Local,Public District,No Cases Reported,12,No Cases Reported,12
Butler,Queen Of Peace,Private School,6,15,0,4
Butler,Queen Of Peace,Preschool,No Cases Reported,0,No Cases Reported,0
Butler,Ross Local,Public District,5,131,2,55
Butler,Sacred Heart,Private School,1,19,0,6
Butler,St. Gertrude the Great School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Talawanda City,Public District,11,121,2,64
Guernsey,Cambridge City,Public District,No Cases Reported,0,No Cases Reported,3
Guernsey,East Guernsey Local,Public District,No Cases Reported,1,No Cases Reported,0
Guernsey,Guernsey County Board of DD,County Board of Developmental Disabilities,No Cases Reported,0,No Cases Reported,0
Guernsey,Ohio Valley ESC,Educational Service Center,No Cases Reported,0,No Cases Reported,0
Guernsey,Rolling Hills Local,Public District,No Cases Reported,3,No Cases Reported,10
Guernsey,St Benedict,Private School,No Cases Reported,0,No Cases Reported,0
Guernsey,St Benedict,Preschool,No Cases Reported,0,No Cases Reported,0
Guernsey,Taflan Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Beacon Academy,Community School,0,2,0,0
Stark,Canton City,Public District,5,50,9,100
Stark,Canton College Preparatory School,Community School,0,2,0,0
Stark,Canton Harbor High School,Community School,0,0,0,1
Stark,Canton Montessori,Private School,0,0,0,0
Stark,Canton Montessori,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,East Branch Preparatory AcademydbaWright Preparatory Academy,Community School,0,1,0,4
Stark,Haggadah Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Stark,Heritage Christian,Private School,0,3,0,2
Stark,Heritage Christian,Preschool,0,0,0,0
Stark,Heritage Christian,Before and After School Programs,0,0,0,0
Stark,Our Lady Of Peace,Private School,0,1,0,9
Stark,St Peter,Private School,0,2,0,2
Stark,St Peter,Preschool,0,0,0,1
Stark,Stark High School,Community School,No Cases Reported,0,No Cases Reported,0
Stark,Summit Academy Community School for Alternative Learn-Canton,Community School,No Cases Reported,0,No Cases Reported,0
Stark,Summit Academy Secondary - Canton,Community School,No Cases Reported,0,No Cases Reported,0
Stark,The Golden Key Center for Exceptional Children,Private School,0,1,0,1
Stark,Weaver Child Development Center  Inc,Private School,0,0,0,4
Stark,Weaver Child Development Center Inc,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Carroll,Brown Local,Public District,3,10,4,21
Carroll,Carroll County Board of DD,County Board of Developmental Disabilities,0,3,0,2
Carroll,Carroll County Christian Academy,Private School,2,6,0,4
Carroll,Carrollton Exempted Village,Public District,5,58,2,41
Carroll,Conotton Valley Union Local,Public District,0,23,0,18
Champaign,Graham Local,Public District,0,39,0,23
Champaign,Madison-Champaign ESC,Educational Service Center,1,2,0,2
Champaign,Mechanicsburg Exempted Village,Public District,0,9,0,1
Champaign,Operation Rebirth Inc.,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Champaign,Rembold Stem Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Champaign,Roberts STEM Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Champaign,Triad Local,Public District,2,19,0,12
Champaign,Urbana City,Public District,6,29,2,9
Champaign,Victory Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Champaign,West Liberty-Salem Local,Public District,2,5,1,3
Champaign,Yorgason Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,AchievePoint Career Academy - Cincinnati,Community School,0,4,0,0
Hamilton,Aldersgate Christian Academy,Private School,0,4,0,2
Hamilton,Alliance Academy of Cincinnati,Community School,1,6,2,6
Hamilton,Annunciation,Private School,0,6,0,4
Hamilton,Annunciation,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Bellewood Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Bethel Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Cardinal Pacelli,Private School,0,11,1,7
Hamilton,Cardinal Pacelli,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Cincinnati Achievement Academy,Community School,0,7,0,2
Hamilton,Cincinnati College Preparatory Academy,Community School,0,49,0,41
Hamilton,Cincinnati Hills-Otto Armleder,Private School,1,2,1,3
Hamilton,Cincinnati Hills-Otto Armleder School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Cincinnati Public Schools,Public District,20,347,21,492
Hamilton,Cincinnati Technology Academy,Community School,0,0,0,0
Hamilton,Cincinnati Waldorf High School,Private School,0,0,0,0
Hamilton,Clifton Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Corryville Catholic,Private School,0,0,0,0
Hamilton,Corryville Catholic,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Cross Bridge Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Dampe Community School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,DePaul Cristo Rey High School,Private School,0,10,1,6
Hamilton,Doherty,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Dohn Community,Community School,0,6,0,8
Hamilton,Dublin Preparatory Academy dba Northside Preparatory Academy,Community School,0,0,0,1
Hamilton,Elder,Private School,3,43,1,17
Hamilton,Global Faith Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Guardian Angels,Private School,3,30,1,6
Hamilton,Guardian Angels,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Hamilton County Board of DD,County Board of Developmental Disabilities,0,1,0,5
Hamilton,Heart Montessori,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Holy Family,Private School,0,5,0,4
Hamilton,Holy Family,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Horizon Science Academy-Cincinnati,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,McNicholas,Private School,1,49,0,1
Hamilton,Mercy McAuley High School,Private School,2,39,1,10
Hamilton,Mercy Montessori Center,Private School,0,6,0,3
Hamilton,Mercy Montessori Center,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Mount Auburn Preparatory Academy,Community School,0,9,0,7
Hamilton,Nativity,Private School,4,19,0,3
Hamilton,Orion Academy,Community School,0,1,0,3
Hamilton,Our Lady Of Lourdes,Private School,0,3,0,2
Hamilton,Phoenix Community Learning Ctr,Community School,0,1,0,0
Hamilton,Priority High School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Purcell-Marian,Private School,2,29,1,20
Hamilton,Queen City Career Prep High School,Community School,0,0,0,1
Hamilton,ReGeneration Bond Hill,Community School,0,1,0,3
Hamilton,Resurrection,Private School,0,1,0,3
Hamilton,Riley Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Riverside Academy,Community School,0,2,1,2
Hamilton,Seton,Private School,3,43,0,9
Hamilton,Seven Hills School,Private School,3,43,4,20
Hamilton,Seven Hills School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Springer School & Center,Private School,0,9,0,7
Hamilton,St Aloysius Educational Center,Private School,0,2,0,3
Hamilton,St Boniface,Private School,0,4,0,1
Hamilton,St Catharine Of Siena,Private School,0,0,0,2
Hamilton,St Cecilia,Private School,0,4,0,2
Hamilton,St Cecilia,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Edmund Campion Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Francis Desales,Private School,0,2,0,6
Hamilton,St Francis Desales,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Francis Seraph,Private School,0,1,0,1
Hamilton,St Francis Seraph,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Joseph,Private School,0,0,0,0
Hamilton,St Joseph,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Lawrence,Private School,0,1,0,0
Hamilton,St Lawrence,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Mary,Private School,0,3,0,0
Hamilton,St Teresa Of Avila,Private School,0,4,0,3
Hamilton,St Ursula Academy,Private School,9,47,0,15
Hamilton,St Ursula Villa,Private School,4,25,2,6
Hamilton,St Ursula Villa,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St Ursula Villa,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,St William,Private School,1,3,0,6
Hamilton,St William,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Summit Academy Community School - Cincinnati,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Summit Academy Transition High School-Cincinnati,Community School,0,1,0,1
Hamilton,Summit Country Day,Private School,6,49,5,18
Hamilton,Summit Country Day,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Summit Country Day,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,T.C.P. World Academy,Community School,0,0,0,3
Hamilton,The Bishop James Chapman Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,The Childrens Home of Cincinnati,Private School,0,15,0,17
Hamilton,The Dream Academy Community School,Community School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,The New School,Private School,0,4,2,2
Hamilton,The New School,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,The Smith School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Universal Muslim Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Winton Place Baptist Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Xavier University Montessori,Private School,0,2,0,1
Hamilton,Xavier University Montessori,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,Xavier University Montessori,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Bober Family Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Butler County ESC,Educational Service Center,No Cases Reported,8,No Cases Reported,38
Butler,Freedom Christian Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Hamilton City,Public District,No Cases Reported,97,No Cases Reported,73
Butler,Immanuel Lutheran,Private School,No Cases Reported,7,No Cases Reported,5
Butler,Immanuel Lutheran,Preschool,No Cases Reported,1,No Cases Reported,0
Butler,Immanuel Lutheran,Before and After School Programs,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Main Street Schoolhouse Inc,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Richard Allen Academy,Community School,No Cases Reported,0,No Cases Reported,4
Butler,St Ann,Private School,No Cases Reported,3,No Cases Reported,8
Butler,St Ann,Preschool,No Cases Reported,1,No Cases Reported,0
Butler,St Joseph,Private School,No Cases Reported,8,No Cases Reported,10
Butler,St Joseph,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,St Peter In Chains,Private School,No Cases Reported,6,No Cases Reported,2
Butler,Stephen T Badin,Private School,No Cases Reported,46,No Cases Reported,13
Hamilton,Polygots Academy,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Hamilton,The C School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Butler,Marshall High School,Community School,0,0,0,0
Butler,Middletown Preparatory & Fitness Academy,Community School,0,0,0,0
Butler,Northstar Classical School,Private School,0,0,0,0
Butler,Ohio Christian Academy,Private School,0,0,0,0
Butler,St. John XXIII Catholic School,Private School,0,0,0,0
Butler,St. John XXIII Catholic School,Preschool,0,0,0,0
Butler,Summit Academy Secondary School - Middletown,Community School,0,0,0,0
Butler,Summit Acdy Comm Schl for Alternative Learners of Middletown,Community School,0,0,0,0
Warren,Middletown Christian,Private School,0,0,0,0
Warren,Middletown City,Public District,0,0,0,0
Warren,Bishop Fenwick,Private School,0,0,0,0
Clark,Catholic Central,Private School,1,20,1,6
Clark,Catholic Central Limestone,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clark,Clark County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clark,Clark County ESC,Educational Service Center,0,48,1,19
Clark,Clark-Shawnee Local,Public District,1,58,1,21
Clark,Cliff Park High School,Community School,No Cases Reported,4,No Cases Reported,1
Clark,Emmanuel Christian Academy,Private School,4,24,0,8
Clark,Global Impact STEM Academy,Public District,5,28,0,1
Clark,God's Teen School Inc.,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clark,Greenon Local,Public District,6,47,2,21
Clark,Guiding Shepherd Christian School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clark,Locust Grove School,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clark,Nightingale Montessori Inc,Private School,1,2,0,0
Clark,Northeastern Local,Public District,10,148,1,37
Clark,Northwestern Local,Public District,3,42,1,18
Clark,Ridgewood School  The,Private School,No Cases Reported,4,No Cases Reported,2
Clark,Ridgewood School The,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clark,Risen Christ Lutheran School,Private School,No Cases Reported,1,No Cases Reported,0
Clark,Southeastern Local,Public District,1,15,0,8
Clark,Springfield Christian,Private School,No Cases Reported,2,No Cases Reported,4
Clark,Springfield Christian,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clark,Springfield City School District,Public District,13,160,9,121
Clark,Springfield Preparatory and Fitness Academy,Community School,No Cases Reported,3,No Cases Reported,1
Clark,Springfield-Clark County,Joint Vocational School District,3,46,0,6
Clark,Springview Center (494),County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clark,Tecumseh Local,Public District,2,94,1,33
Clermont,Batavia Local,Public District,1,39,0,0
Clermont,Bethel-Tate Local,Public District,No Cases Reported,12,No Cases Reported,10
Clermont,Children's Meeting House,Private School,No Cases Reported,2,No Cases Reported,No Cases Reported
Clermont,Children's Meeting House,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,Clermont County Board of DD,County Board of Developmental Disabilities,No Cases Reported,No Cases Reported,No Cases Reported,5
Clermont,Clermont County ESC,Educational Service Center,No Cases Reported,0,No Cases Reported,5
Clermont,Clermont Northeastern Local,Public District,No Cases Reported,No Cases Reported,No Cases Reported,13
Clermont,Eastern Hills Educational Bldg,Private School,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
Clermont,Eastern Hills Educational Bldg,Preschool,No Cases Reported,No Cases Reported,No Cases Reported,No Cases Reported
